p1,p2,tilt
0.0616666667,0.0993055556,0.5425238112713553
0.0616666667,0.1041666667,0.4800557312267476
0.0616666667,0.1090277778,0.5471850484871933
0.0616666667,0.1138888889,0.65305617384946
0.0616666667,0.11875,0.5129903847866606
0.0616666667,0.1236111111,0.4665891082587268
0.0616666667,0.1284722222,0.5096443355024783
0.0616666667,0.1333333333,0.37080500398326255
0.0616666667,0.1381944444,0.13959239082418384
0.0616666667,0.1430555556,0.22781289756330797
0.0616666667,0.1479166667,0.03553925646570333
0.0616666667,0.1527777778,0.2158163946919188
0.0616666667,0.1576388889,0.18539444733986454
0.0616666667,0.1625,0.32814089295535565
0.0616666667,0.1673611111,0.49443243378388596
0.0616666667,0.1722222222,0.5777758206551665
0.0616666667,0.1770833333,0.6753310553510585
0.0616666667,0.1819444444,0.7934279606883649
0.0616666667,0.1868055556,1.1308034809963605
0.0616666667,0.1916666667,1.126788600399375
0.0616666667,0.1965277778,1.1807803487470327
0.0616666667,0.2013888889,1.4939736814992546
0.0616666667,0.20625,1.548243980646005
0.0616666667,0.2111111111,1.5696295002807765
0.0616666667,0.2159722222,1.765141825280169
0.0616666667,0.2208333333,2.0795053548939277
0.0616666667,0.2256944444,1.9753178572116337
0.0616666667,0.2305555556,2.1332424005523007
0.0616666667,0.2354166667,2.4545429388723403
0.0616666667,0.2402777778,2.526807700172762
0.0616666667,0.2451388889,2.5945636984198632
0.0616666667,0.25,2.7685615491875537
0.0633333333,0.075,1.1653498249736673
0.0633333333,0.0798611111,0.32185736615971894
0.0633333333,0.0847222222,0.15295143728393326
0.0633333333,0.0895833333,0.2514332084371608
0.0633333333,0.0944444444,0.04440590292150733
0.0633333333,0.0993055556,0.22543683589941282
0.0633333333,0.1041666667,0.2107555758417454
0.0633333333,0.1090277778,0.25769954303035586
0.0633333333,0.1138888889,0.3588552048129239
0.0633333333,0.11875,0.21167319840816295
